authority_id,authority_name_he,authority_name_en,district,population,socioeconomic_cluster,year,total_waste_tons,kg_per_capita_day,pct_recycled,pct_landfilled,pct_other_recovery,reported,source_url,source_name
472,אבו גוש,Abu Ghosh,,8657.0,,2014,3185.9399999999996,1.3027765283173174,6.434835558736197,93.56516444126379,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
473,אבו סנאן,Abu Snan,,13895.0,,2014,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
182,אבן יהודה,Even Yehuda,,14989.0,,2014,9659.25,2.061597680842674,31.834894013510368,68.16510598648962,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
2710,אום אל-פחם,Umm Al-Fahm,,57560.0,,2014,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
31,אופקים,Ofaqim,,35355.0,,2014,13056.741000000002,1.420252239277601,23.592083200547513,76.40791679945248,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
2400,אור יהודה,Or Yehuda,,36850.0,,2014,29963.327,2.29799588078591,5.826145407684534,94.17385459231548,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
1020,אור עקיבא,Or Aqiva,,22173.0,,2014,13010.47,2.1395632225492935,26.905023415756695,73.09497658424331,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
3760,אורנית,Oranit,,9979.0,,2014,4975.48,1.734722837209789,16.4325853987957,83.56741460120429,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
565,אזור,Azor,,13191.0,,2014,9394.219000000001,2.1610064064962105,14.968982519994475,85.03101748000552,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
2600,אילת,Eilat,,55213.0,,2014,57674.192,3.25494870597398,7.54427907719973,92.45572092280028,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
478,אכסאל,Iksal,,14646.0,,2014,,,,,,False,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
,אל קסום,El Kasum,,18954.0,,2014,1560.0,0.5124667389376171,0.0,100.0,,True,https://www.cbs.gov.il/he/publications/Pages/2019/פסולת-שנאספה-ברשויות-המקומיות-2014-2017.aspx,"CBS - Household and Commercial Waste Collected, by Type of Treatment and Local Authority"
