Authority,Authority ID
אבו בסמה,500262670
אבו גוש,500204722
אבו סנאן,500204730
אבן יהודה,500201827
אום אל-פחם,500227103
אופקים,500200316
אור יהודה,500224001
אור עקיבא,500210208
אורנית,500237607
אזור,500205653
אילת,500226006
אכסאל,500204789
אל-בטוף,500225651
אל קסום,500262696
אלונה,500232459
אליכין,500200415
אלעד,500213095
אלפי מנשה,500237508
אלקנה,500235601
אעבלין,500205299
אפרתה,500236500
אריאל,500235700
אשדוד,500200704
אשכול,500262381
אשקלון,500271002
באקה אל-גרביה,500260005
באר טוביה,500261334
באר יעקב,500225305
באר שבע,500290002
בוסתאן אל-מרג,500225669
בועיינה-נוגיידאת,500204821
בוקעאתה,500240015
ביענה,500204839
ביר אל-מכסור,500209986
בית אל,500235742
בית אריה,500236526
בית ג'ן,500204805
בית דגן,500204664
בית שאן,500292008
בית שמש,500226105
ביתר עילית,500237805
בני ברק,500261003
בני עייש,500210661
בני שמעון,500262415
בנימינה - גבעת עדה,500298005
"בסמ""ה",500213269
בסמת טבעון,500209440
ברנר,500244280
בת ים,500262001
גבעת זאב,500237300
גבעת שמואל,500206818
גבעתיים,500263009
גדיידה-מכר,500212923
גדרה,500225503
גדרות,500244322
גוליס,500204854
גולן,500229711
גוש חלב,500204870
גוש עציון,500276761
גזר,500243308
גלגוליה,500206271
גן יבנה,500201660
גן רוה,500244272
גני תקוה,500202296
גסר א-זרקא,500205414
גת,500206289
דאלית אל-כרמל,500204946
דבוריה,500204896
דימונה,500222005
דיר אל-אסד,500204904
דיר חנא,500204920
דרום השרון,500242201
הגלבוע,500223086
הגליל העליון,500221015
הגליל התחתון,500222039
הוד השרון,500297007
הערבה התיכונה,500262548
הר אדר,500237698
הר חברון,500277785
הרצליה,500264007
זבולון,500231121
זכרון יעקב,500293006
זמר,500212907
זרזיר,500209754
חבל אילות,500262530
חבל יבנה,500244298
חבל מודיעין,500242250
חדרה,500265004
חולון,500266002
חוף אשקלון,500261367
חוף הכרמל,500232152
חוף השרון,500241195
חורה,500213038
חורפיש,500204961
חיפה,500240007
חצור הגלילית,500220348
חריש-קציר,500212477
טבריה,500267000
טובא-זנגריה,500209622
טורעאן,500204987
טייבה,500227301
טירה,500227202
טירת כרמל,500221007
טמרה,500289004
יאנוח-גת,500212956
יבנאל,500200464
יבנה,500226600
יהוד-מונוסון,500213574
יואב,500261359
יסוד המעלה,500200290
יפיע,500204995
יקנעם עילית,500202403
ירוחם,500208319
ירושלים,500230008
ירכא,500205026
כאבול,500205042
כאוכב אבו אל-היגא,500205059
כוכב יאיר-צור יגאל,500212246
כסייפה,500210596
כסרא-סמיע,500212964
כעביה-טבאש-חגאגרה,500209788
כפר ברא,500206339
כפר ורדים,500212634
כפר יאסיף,500205075
כפר יונה,500201686
כפר כמא,500205083
כפר כנא,500205091
כפר מנדא,500205109
כפר סבא,500269006
כפר קאסם,500206347
כפר קרע,500206545
כפר שמריהו,500202676
כפר תבור,500200472
כרמיאל,500211396
לב השרון,500241187
להבים,500212717
לוד,500270004
לכיש,500261508
לקיה,500210604
מבואות החרמון,500221551
מבשרת ציון,500210158
מגאר,559021241
מגד אל-כרום,500205166
מגדל,500200654
מגדל העמק,500208749
מגדל שמס,500242011
מגדל תפן,500280029
מגידו,500223136
מגילות ים המלח,500275748
מודיעין-מכבים-רעות,500213517
מודיעין עלית,500237979
