שם,מזהה,האם חומר?
פלסטיק HDPE,1,לא
פלסטיק LDPE,2,לא
פלסטיק PET,3,לא
פלסטיק PP,4,לא
פלסטיק PS,5,לא
פלסטיק מעורב,6,לא
פסולת פריקה ביולוגית,7,לא
אלקטרונית,8,לא
אריזות,9,לא
בוצה,10,לא
בוצה תעשייתית,11,לא
גזם (פסולת),13,לא
זכוכית חומה,14,לא
זכוכית ירוקה,15,לא
זכוכית צבעונית,16,לא
זכוכית שקופה,17,לא
טקסטיל,18,לא
מעורבת,20,לא
מתכות אל ברזליות,21,לא
מתכות ברזליות,22,לא
מתכת,23,לא
נייר,24,לא
פסדים,26,לא
פסולת טיאוט,27,לא
פסולת רפואית,28,לא
צמיגים,29,לא
קלקר,30,לא
קרטון,31,לא
שאריות מיון,33,לא
פסולת תעשייתית ומסחרית,34,לא
חומר כיסוי,35,לא
אסבסט פריך,36,לא
אסבסט צמנט,37,לא
קרקע מזוהמת לטיפול,38,לא
קרקע מזוהמת לכיסוי,39,לא
RDF,40,לא
פסולת גושית,41,לא
קרטוני חלב,42,לא
יבש - מופרד במקור,43,לא
חומר תשתית לאתר,44,לא
תשטיפים,45,לא
אורגנית מופרדת במקור,46,לא
אורגנית בהפרדה מכאנית,47,לא
פסולת בניה,48,לא
פסולת עץ,49,לא
פסולת עפר,50,לא
פסולת זכוכית,51,לא
פסולת יבשה,52,לא
מצעים,53,לא
חול ותחליפיו,54,לא
חומר מילוי,55,לא
טיט,56,כן
צמנטיט,57,כן
בטקל,58,כן
מדה מתפלסת,59,כן
"בטון C , ""לא מבני""",60,כן
CLSM,61,כן
מצע צמנטי,62,כן
בטון לאבן שפה,63,כן
מילוי A24,64,כן
מצע סוג ג’ (נברר),65,כן
מצע סוג ב׳,66,כן
חול שטוף 2- מ״מ,67,כן
אגרגט סומסום 9.5- מ״מ,68,כן
גזם (חומר),69,כן
גזם+גושית,105,לא
אורגני מיוצב,106,כן
קומפוסט,107,כן
פסולת גניזה,109,לא
בקבוקי פקדון זכוכית,112,כן
בקבוקי פקדון פלסטיק,113,כן
פחיות פקדון מתכת,114,כן
שאריות מיון מאריזות,115,לא
פגרים ממקור חקלאי,127,
עודפי פרי וירק,128,
זבל לול,122,
זבל רפת,123,
זבל צאן,124,
זבל חזיריה,125,
זבל בעלי חיים אחר,126,
מי תסנין,131,
פסולת שמן (מאכל),129,
שפכים שומניים וחלב,130,
